statement	isMetaphor	source	language	row_id
Sie hat einen neuen Partner. Man sieht sie oft fröhlich.	0	MIST	DE	MIST:294
Torsten hörte ständig er sei nicht besonders intelligent.	0	COMETA	DE	COMETA:3
Er machte einen gemeinen Witz. Das war geschmacklos.	1	MIST	DE	MIST:268
Sie kann nicht mehr klar denken. Vor Wut ist sie blind.	1	MIST	DE	MIST:292
Meine Tante hat ein weiches Herz sie kocht ehrenamtlich für Obdachlose.	1	COMETA	DE	COMETA:81
Er ist ein toller Mann. Sie war schon lange verliebt.	0	MIST	DE	MIST:237
Sie hat zu viele Geheimnisse. Das schmeckt ihm nicht.	1	MIST	DE	MIST:320
Im letzten Urlaub ging vieles schief. Das war aufreibend. 	1	MIST	DE	MIST:54
Sie will ihn nicht. Er muss aufhören Süßholz zu raspeln.	1	MIST	DE	MIST:301
Die plötzliche Veränderung war eine kalte Dusche für Anna.	1	COMETA	DE	COMETA:79
Die Banken müssen mit Kapital aufgepäppelt werden.	1	COMETA	DE	COMETA:110
In ihren Augen macht er nie was falsch. Sie ist voreingenommen.	0	MIST	DE	MIST:270
Er lächelt fast nie. Dadurch wirkt er meistens kühl.	1	MIST	DE	MIST:52
Sie war immer sehr stolz auf ihn. Er war ihr Goldstück.	1	MIST	DE	MIST:326
Nichts scheint ihr etwas auszumachen. Sie ist emotionslos.	0	MIST	DE	MIST:317
Sie sieht traurig aus. Sie hatten schon wieder Streit.	0	MIST	DE	MIST:74
Wenn Maik einen guten Roman liest vergeht die Zeit für ihn schnell.	0	COMETA	DE	COMETA:49
Er wusste nicht viel. Daher galt er nicht als helle.	1	MIST	DE	MIST:63
Sie holten den ersten Platz. Die Leistung war glänzend.	1	MIST	DE	MIST:56
Sie hatten wieder einen Streit. Jetzt ist er wütend.	0	MIST	DE	MIST:189
Gestern war er sehr betrunken. Jetzt fühlt er sich schlecht. 	0	MIST	DE	MIST:15
Laut und unangenehm schallten die Stimmen der Verkäufer über den Markt.	0	COMETA	DE	COMETA:22
Die Polizei stand an der Ecke. Etwas war faul.	1	MIST	DE	MIST:253
Sie hat einen neuen Partner. Man sieht sie oft strahlen.	1	MIST	DE	MIST:115
Sie kann ihm nicht wirklich vertrauen. Er wirkt scheinheilig. 	1	MIST	DE	MIST:154
Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	COMETA	DE	COMETA:63
Schnell verliert sie die Beherrschung. Sie handelt hitzköpfig.	1	MIST	DE	MIST:73
Kerstin wollte alles hinter sich lassen und reiste nach Japan.	1	COMETA	DE	COMETA:40
Ihr Hund war ihr Freund. Sein Verlust macht sie betrübt.	1	MIST	DE	MIST:162
Sport ist ihm egal. Die WM scheint ihn nicht zu jucken.	1	MIST	DE	MIST:30
Er ist ein Macho. Seine Sprüche sind niveaulos.	0	MIST	DE	MIST:201
Er fällt sehr auf. Seine Persönlichkeit ist ausgefallen.	0	MIST	DE	MIST:196
Ihr ist viel widerfahren. Man merkt ihren Groll. 	0	MIST	DE	MIST:65
Sie fuhr sein Auto zu Schrott. Er sah es und kochte.	1	MIST	DE	MIST:175
Das war heute eine große Enttäuschung für meinen Vater.	0	COMETA	DE	COMETA:98
Zu fast allem hat er eine Lösung. Er ist spitzfindig.	1	MIST	DE	MIST:240
Letzte Nacht hat ein scharfer Wind um die Häuser geblasen.	1	COMETA	DE	COMETA:35
Seine empfindliche Seele konnte den Streit nicht länger aushalten.	0	COMETA	DE	COMETA:23
Er soll sie in Ruhe lassen. Er ist schmierig.	1	MIST	DE	MIST:218
Ihre Spanisch-Kenntnisse waren leider nicht mehr aktuell.	0	COMETA	DE	COMETA:116
Etwas geht da vor sich. Die Situation stinkt.	1	MIST	DE	MIST:28
Er hat viele Lügen erzählt. Jetzt zeigt er sich schuldbewusst.	0	MIST	DE	MIST:273
Der Zeuge macht die Aussage. Die Details sind interessant.	0	MIST	DE	MIST:315
Der Flugbegleiter heute war wirklich zum Anbeißen!	1	COMETA	DE	COMETA:51
Sie sind nicht einer Meinung. Der Streit wird hitzig.	1	MIST	DE	MIST:285
Sie stieg in das fremde Auto. Das war naiv.	0	MIST	DE	MIST:297
Das Problem besteht noch immer. Es fehlt ihr die Erkenntnis.	0	MIST	DE	MIST:112
Sie hat wenig geschlafen. Daher ist sie mürrisch.	0	MIST	DE	MIST:205
Sein Kind kam heile nach Hause. Jetzt ist er sorglos.	0	MIST	DE	MIST:66
Die Schulreform stand noch auf wackligen Beinen.	1	COMETA	DE	COMETA:83
Sie erlebte wieder einen Rückschlag. Er war schlimm.	0	MIST	DE	MIST:69
Den Vorwurf ließ er sich nicht machen. Er wurde wütend.	0	MIST	DE	MIST:61
Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	0	COMETA	DE	COMETA:107
Beim Begräbnis war er betrunken. Das war respektlos.	0	MIST	DE	MIST:223
Der Vortrag ist chaotisch. Zum Verstehen fehlt der rote Faden.	1	MIST	DE	MIST:16
Sie ist selten fröhlich. Ihr Leben ist voller Trübsal.	1	MIST	DE	MIST:307
