statement	isMetaphor
Viele alte Menschen sind einsam. Deshalb sind sie missmutig.	0
Nach außen wirkt sie streng. Doch ihr Inneres ist sanftmütig.	0
Es gab eine große Feier. Das Programm war abwechslungsreich.	0
Sie gründet eine Gang. Ihre Spielchen waren faul.	1
Etwas stimmt hier nicht. Die ganze Sache ist anrüchig.	1
Seit der Trennung bleibt er im Bett. Er fühlt sich jämmerlich.	0
Das Gespräch dauerte lange. Sie fand es langweilig.	0
Sie holten den ersten Platz. Die Leistung war glänzend.	1
Überall herrscht schlimmer Krieg. Die Zeiten sind dunkel.	1
Der Film war traurig und schön. Alle waren berührt.	1
Etwas geht da vor sich. Die Situation stinkt.	1
Er schreibt einen bösen Brief. Den Ärger kann er erahnen.	0
Sie tanzte bis tief in die Nacht. Sie war in Ekstase.	0
Er schaut gern Horrorfilme. Ihm gefällt der Nervenkitzel.	1
Sie ist der Star. Ihre Persönlichkeit ist auffallend.	0
Sie kennen sich schon lange Zeit. Ihr Umgang ist warm.	1
Ihr Hund war ihr Freund. Sein Verlust macht sie betrübt.	1
Sie tranken beide zwei Flaschen Wein. Jetzt sind sie betrunken.	0
Er machte ihr ein Kompliment. Es war sehr schmeichelnd.	0
Die Mannschaft will den Pokal gewinnen. Sie ist heiß darauf.	1
Die Geschichte ist schön. Das Ende ist romantisch.	0
Er hat viele Lügen erzählt. Jetzt zeigt er sich kleinlaut.	1
Bei Krimis kennt er die Mörder. Das verdankt er seinem Instinkt.	0
Sie kümmert sich täglich um kranke Kinder. Sie ist gutmütig.	0
Sie hat an sich gearbeitet. Nun ist sie mit sich selbst zufrieden.	0
Sein neues Buch war ein Flop. Es war einfach nicht das Gelbe vom Ei.	1
Neuerdings geht viel schief. Doch er sieht den Silberstreifen am Horizont. 	1
Er ist ein Macho. Seine Sprüche sind niveaulos.	0
Das Buch kam nicht gut an. Die Geschichte war langweilig.	0
Sie kennen sich schon lange. Deshalb kommen sie gut zusammen aus.	0
Die Bedeutung war ihm fremd. Er hatte keinen Schimmer.	1
Sie hat Geburtstag. Er möchte ihren Tag verschönern.	0
Das Gespräch dauerte lange. Sie fand es monoton.	1
Ihr Leben ist öde. Auf ein Abenteuer hofft sie.	0
Sie wusste nicht Bescheid. Daher fragte sie ins Ungewisse.	0
Er schaut gern Horrorfilme. Ihm gefällt die Aufregung.	0
Sie langweilt sich nie. Ihr Leben hat genug Würze.	1
Das Konzert ist morgen. Sie sind schon ganz aufgekratzt.	1
Viele haben Angst vor ihm. Sein Umgang ist grob.	1
Schnell verliert sie die Beherrschung. Sie handelt hitzköpfig.	1
Er hat eine kleine Katze. Sie ist goldig.	1
Sie sind schon lange Rivalen. Ihr Umgang ist unfreundlich.	0
Seine Taten sind heldenhaft. Er ist ein schneidiger Typ.	1
Es wurde viel gelacht. Der Abend war köstlich.	1
Er liebt Motoren. Sein neues Auto ist echt scharf. 	1
In ihren Augen macht er nie was falsch. Sie ist voreingenommen.	0
Sie ist selten fröhlich. Ihr Leben ist voller Traurigkeit.	0
Er ist ein verurteilter Mörder. Er ist kaltblütig.	1
Es wurde viel gelacht. Der Abend war lustig.	0
Sie hat an sich gearbeitet. Nun ist sie mit sich selbst im Einklang.	1
Er liebt Motoren. Sein neues Auto ist echt super.	0
Jeder an der Uni kennt ihn. Er ist ein auffallender Mensch.	0
Sie hat viel durchgemacht. Dadurch wurde sie gefühllos.	0
Er ist Investmentbanker. Für Geld hat er einen Sinn.	0
Ihr Sohn hatte keine Manieren. Er war sehr vorlaut.	1
Die Familie ist zerstritten. Die Zeiten sind freudlos.	0
Er ist ihr sympathisch. Sie kann ihn gut leiden.	0
Er fällt sehr auf. Seine Persönlichkeit ist bunt.	1
Er hat ihr wehgetan. Nun zeigt er sich reuevoll.	0
Der Zeuge macht die Aussage. Die Details sind interessant.	0
Die Geschichte ist schön. Das Ende ist zum dahinschmelzen.	1
Der Fehler war schlimm. Für ihre Zukunft ist sie pessimistisch.	0
Sie arbeitet nur. Ihr Leben ist eher langweilig.	0
Zu fast allem hat er eine Lösung. Er ist clever.	0
Sie hat wenig geschlafen. Daher ist sie muffelig.	1
Er zeigt kein Interesse an ihr. Das kümmert sie nicht.	0
Er zeigt kein Interesse an ihr. Das kratzt sie nicht.	1
Die Party ist im Stripclub. Die Stripper sind heiß.	1
Die Mannschaft will den Pokal gewinnen. Sie will ihn unbedingt.	0
Sie kamen sich langsam näher. Man spürte das Knistern.	1
Sie gründet eine Gang. Ihre Spielchen waren unehrlich.	0
Die Bedeutung war ihm fremd. Er hatte keine Ahnung.	0
Im letzten Urlaub ging vieles schief. Das war nervig.	0
Die Schülerin will mehr Freizeit. Sie findet Hausaufgaben stinken.	1
Sie war öfters ängstlich. Sie spürte die Gefahr.	0
Endlich naht der Frühling. Die Liebe ist zu spüren.	0
Ihr Hund war ihr Freund. Sein Verlust macht sie traurig.	0
Sie hat ihn verlassen. Jetzt sieht er alles durch einen Grauschleier.	1
Sie erkennt die Stimmung anderer. Sie ist feinfühlig. 	1
Dieser Mann ist gefährlich. Sein Blick wirkt finster.	1
Sie ist schnell beleidigt. Bei ihr benötigt man Einfühlungsvermögen. 	0
Der Zeuge macht die Aussage. Die Details sind pikant.	1
Bei Krimis kennt er die Mörder. Das verdankt er seinem Riecher.	1
Die Polizei stand an der Ecke. Etwas war faul.	1
Man merkt ihr junges Alter. Sie ist noch unerfahren. 	0
Er soll sie in Ruhe lassen. Er ist unangenehm.	0
Er setzt sein ganzes Geld auf rot. Er ist durchgeknallt.	1
Niemand ist bei ihr willkommen. Auf andere wirkt sie lieblos.	0
Sein neues Buch war ein Flop. Es war einfach nicht sehr gut.	0
Die Theorie war gut durchdacht. So fand sie schnell Zustimmung.	0
Im letzten Urlaub ging vieles schief. Das war aufreibend. 	1
Ihr Leben ist öde. Auf ein Abenteuer brennt sie.	1
Sie sind geschieden. Ihre Begegnungen sind eisig.	1
Sie hat ihn verlassen. Jetzt ist er völlig freudlos.	0
Sie stieg in das fremde Auto. Das war blauäugig.	1
Sie tranken eine Flasche Sekt. Danach waren sie betrunken.	0
Das Publikum war enttäuscht. Der Vortrag war farblos.	1
Sie sieht traurig aus. Sie hatten schon wieder Streit.	0
Gestern war sein Test. Die Note erwartet er aufgeregt.	0
Die Mitarbeiter sind glücklich. Im Büro herrscht gute Atmosphäre.	0
Sie verpassten knapp das Finale. Jetzt ist sie verstimmt.	1
Sport ist ihm egal. Die WM scheint ihn nicht zu interessieren. 	0
Gestern war er sehr betrunken. Jetzt fühlt er sich schlecht. 	0
In ihren Augen macht er nie was falsch. Sie ist verblendet.	1
Sie hatten auf nichts Lust. Ihre Tage waren grau.	1
Nach außen wirkt sie streng. Doch ihr Inneres ist weich.	1
Er macht sie schon lange glücklich. Er ist ihr Liebling.	0
Sie kann nicht mehr klar denken. Vor Wut ist sie blind.	1
Die Wahl war manipuliert. Die Nachricht sorgt für Aufregung.	0
Etwas geht da vor sich. Die Situation ist verdächtig.	0
Sie zweifelten noch sehr. Die Sache war nicht verständlich.	0
Er schaut keinen beim Reden an. Dadurch wirkt er schroff.	1
Teamarbeit ist gefragt. Dafür müssen sie sich grün sein.	1
Sie wusste nicht Bescheid. Daher fragte sie ins Blaue.	1
Beim Begräbnis war er betrunken. Das war taktlos. 	1
Das Publikum war enttäuscht. Der Vortrag war langweilig.	0
Das Kind schummelt gern. Spiele enden oft im Streit.	0
Dies ist sein erstes Date seit langem. Er ist unruhig.	1
Die Aufgabe ist komplex. Es ist noch vieles unverständlich.	0
Die Party ist im Stripclub. Die Stripper sind sexy.	0
Nach dem Gespräch war er sehr wütend. Nun muss er abkühlen.	1
Selten hat er mal richtig Spaß. Er ist echt humorlos.	0
Neuerdings geht viel schief. Doch er hat immer noch Hoffnung. 	0
Sie hat einen neuen Partner. Man sieht sie oft strahlen.	1
Sie stieg in das fremde Auto. Das war naiv.	0
Er hat jetzt seinen Traumjob. Die Zukunft wird schön.	0
Er ist ein toller Mann. Sie war schon lange verliebt.	0
Ihr ist viel widerfahren. Man merkt ihren Groll. 	0
Sie erlebte wieder einen Rückschlag. Er war schlimm.	0
Sie haben eine Affäre. Die Nacht war feurig.	1
Er wusste nicht viel. Daher galt er nicht als helle.	1
Seine Firma ist pleite. Die Lage ist hoffnungslos.	0
Jeder ist bei ihm willkommen. Er ist sehr freundlich.	0
Sie verließ ihn. Seine Fehler wurden ihm nun bewusst.	0
Er wird morgen aus der Haft entlassen. Es duftet nach Freiheit.	1
Sie erkennt die Stimmung anderer. Sie ist einfühlsam.	0
Ihr Freund ist Südländer. Man sagt er sei leidenschaftlich.	0
Ihr Sohn hatte keine Manieren. Er war sehr frech.	0
Die Aufgabe ist komplex. Es ist noch vieles unklar.	1
Die Sitzung dauerte ewig. Das Ganze war langweilig.	0
Sie ist der Star. Ihre Persönlichkeit ist schillernd.	1
Sie sind frisch verliebt. Er sieht alles durch eine rosarote Brille.	1
Es gab eine große Feier. Das Programm war bunt. 	1
Sie hat einen neuen Partner. Man sieht sie oft fröhlich.	0
Sie sind nicht einer Meinung. Der Streit wird emotional.	0
Sie hat viel durchgemacht. Dadurch wurde sie eiskalt.	1
Er ist kein einfacher Mensch. Sein Charakter ist eigenwillig.	0
Er machte einen gemeinen Witz. Das war geschmacklos.	1
Sie sind geschieden. Ihre Begegnungen sind feindselig.	0
Er wusste nicht viel. Daher galt er nicht als intelligent.	0
Die Polizei stand an der Ecke. Etwas war verdächtig.	0
Er lächelt fast nie. Dadurch wirkt er meistens unfreundlich.	0
Er freut sich auf das Date. Da kommt seine neue Geliebte.	0
Sie tanzte bis tief in die Nacht. Sie war im Rausch.	1
Ihr Wesen ist sehr aufbrausend. Sie hat Temperament.	0
Er ist ihr sympathisch. Sie kann ihn gut riechen.	1
Die Trennung ist jetzt lange her. Seine Stimmung wird besser.	0
Sie verlor wegen eines Formfehlers. Das wird ihr stinken.	1
Man kann ihn von nichts abhalten. Er ist hartnäckig.	1
Sein Kind kam heile nach Hause. Jetzt ist er beruhigt. 	1
Sie hatten auf nichts Lust. Ihre Tage waren trist.	0
Dieser Mann ist gefährlich. Sein Blick wirkt böse.	0
Der Vortrag ist chaotisch. Zum Verstehen fehlt der rote Faden.	1
Die Sitzung dauerte ewig. Das Ganze war schal.	1
Sie fuhr sein Auto zu Schrott. Er sah es und kochte.	1
Sie lud sie alle auf ein Eis ein. Das war dufte.	1
Er braucht Aggressionstraining. Häufig sieht er rot.	1
Ihr Vorschlag gefällt niemandem. Die Kritik war heftig. 	0
Sie sieht traurig aus. Sie hatten schon wieder Krach.	1
Sie hielt einen Vortrag. Der Inhalt war blumig.	1
Gefühle zeigt sie nicht. Für andere wirkt sie rau.	1
Zu fast allem hat er eine Lösung. Er ist spitzfindig.	1
Sie hat zu viele Geheimnisse. Das gefällt ihm nicht.	0
Er macht alles was sie sagt. Er ist ihr ergeben.	0
Jeder an der Uni kennt ihn. Er ist ein lauter Mensch.	1
Sie ist immer nett. Jedem zeigt sie ihre Herzlichkeit.	0
Sie kann ihm nicht wirklich vertrauen. Er wirkt scheinheilig. 	1
Das Problem besteht noch immer. Es fehlt ihr die Erleuchtung. 	1
Sie hatten wieder einen Streit. Jetzt ist er sauer.	1
Seine Firma ist pleite. Die Lage ist aussichtslos.	1
Das Thema ist ihre Leidenschaft. Sie glüht dafür.	1
Er lächelt fast nie. Dadurch wirkt er meistens kühl.	1
Er ist ein Macho. Seine Sprüche sind abgeschmackt.	1
Er ist kein einfacher Mensch. Sein Charakter ist kantig.	1
Ihr Team hat heute verloren. Es ist ein schwarzer Tag.	1
Gestern war sein Test. Die Note erwartet er fieberhaft.	1
Sie verließ ihn. Seine Fehler wurden ihm nun klar.	1
Jeder ist bei ihm willkommen. Er ist sehr warmherzig.	1
Der Lehrer ist selten freundlich. Meistens wirkt er streng.	0
Heute ist ein super Tag. Er fühlt sich blendend.	1
Es war ein dummer Vorwurf. Ihre Antwort war spitz.	1
Die Trennung ist jetzt lange her. Seine Stimmung wird heller.	1
Sie ist immer nett. Jedem zeigt sie ihre Wärme.	1
Seine Taten sind heldenhaft. Er ist ein kühner Typ.	0
Die Familie ist zerstritten. Die Zeiten sind trüb.	1
Für heute bleibt sie im Bett liegen. Sie ist faul.	1
Für heute bleibt sie im Bett liegen. Sie ist träge.	0
Alle schauen auf sie. Sie hat eine tolle Präsenz.	0
Sie kennen sich schon lange. Deshalb harmonieren sie gut.	1
Das Buch kam nicht gut an. Die Geschichte war eintönig. 	1
Sie kann nicht mehr klar denken. Vor Wut ist sie unüberlegt.	0
Viele alte Menschen sind einsam. Deshalb sind sie verbittert.	1
Sie bezahlte sehr wenig. Der Deal erschien ihr zwielichtig.	1
Den Vorwurf ließ er sich nicht machen. Er wurde stinkig.	1
Der Film war traurig und schön. Alle waren emotional.	0
Sie ist schnell beleidigt. Bei ihr benötigt man Fingerspitzengefühl.	1
Die Frau hat ein Baby bekommen. Es ist niedlich.	0
Überall herrscht schlimmer Krieg. Die Zeiten sind hoffnungslos.	0
Sie ist selten fröhlich. Ihr Leben ist voller Trübsal.	1
Sie hat zu wenig gelernt. Im Test hat sie keinen Dunst.	1
Sie bemerkt jede Änderung. Sie ist aufmerksam.	0
Ihr Team hat heute verloren. Es ist ein schlechter Tag.	0
Sie sind nicht einer Meinung. Der Streit wird hitzig.	1
Die Bemerkung war gemein. Da war die Stimmung vermiest.	0
Alle schauen auf sie. Sie hat eine tolle Ausstrahlung.	1
Sie hielt einen Vortrag. Der Inhalt war fantasievoll.	0
Sie kennen sich schon lange Zeit. Ihr Umgang ist freundschaftlich.	0
Er sitzt im Gefängnis. Das Verbrechen war düster.	1
Die Bemerkung war gemein. Da war die Stimmung versalzen.	1
Er denkt an die Vergangenheit. Das Gefühl ist schmerzlich-schön.	0
Sie war immer sehr stolz auf ihn. Er war ihr Goldstück.	1
Endlich naht der Frühling. Die Liebe liegt in der Luft. 	1
Sie will ihn nicht. Er muss aufhören Süßholz zu raspeln.	1
Gefühle zeigt sie nicht. Für andere wirkt sie unfreundlich.	0
Sie bricht schnell in Tränen aus. Ihr Wesen ist sensibel.	0
Er hat ihr wehgetan. Nun zeigt er sich zerknirscht.	1
Er hat viele Lügen erzählt. Jetzt zeigt er sich schuldbewusst.	0
Sie erlebte wieder einen Rückschlag. Er war herb.	1
Sie haben das Spiel knapp verloren. Das ist ärgerlich.	0
Teamarbeit ist gefragt. Dafür müssen sie sich leiden können.	0
Das Problem besteht noch immer. Es fehlt ihr die Erkenntnis.	0
Gestern war er sehr betrunken. Jetzt fühlt er sich ranzig.	1
Die Frau hat ein Baby bekommen. Es ist süß.	1
Sie tranken eine Flasche Sekt. Danach waren sie berauscht.	1
Sie hat Geburtstag. Er möchte ihren Tag versüßen.	1
Selten hat er mal richtig Spaß. Er ist echt ein Sauertopf.	1
Sie tranken beide zwei Flaschen Wein. Jetzt sind sie blau.	1
Er schreibt einen bösen Brief. Den Ärger kann er riechen.	1
Er schaut keinen beim Reden an. Dadurch wirkt er unfreundlich.	0
Sie kann ihm nicht wirklich vertrauen. Er wirkt verlogen.	0
Ihr ist viel widerfahren. Man merkt ihre Bitterkeit.	1
Er stimmt ihr bei jeder Möglichkeit zu. Das wirkt schleimig.	1
Sie langweilt sich nie. Ihr Leben hat genug Abwechslung.	0
Er findet stets die richtigen Worte. Er ist taktvoll.	1
Seit der Trennung bleibt er im Bett. Er fühlt sich gammelig.	1
Das Kind schummelt gern. Spiele enden oft im Stunk.	1
Beim Begräbnis war er betrunken. Das war respektlos.	0
Sie verlor wegen eines Formfehlers. Das wird sie ärgern. 	0
Die Mitarbeiter sind glücklich. Im Büro herrscht Harmonie. 	1
Sie sind zerstritten. Er begegnet ihr nur mit Teilnahmslosigkeit.	0
Viele haben Angst vor ihm. Sein Umgang ist unsensibel.	0
Er macht sie schon lange glücklich. Er ist ihr Sonnenschein.	1
Nichts scheint ihr etwas auszumachen. Sie ist stumpf.	1
Sie gab ihm Tipps. Die Ratschläge waren golden.	1
Ihr Vorschlag gefällt niemandem. Die Kritik war scharf.	1
Der Lehrer ist selten freundlich. Meistens wirkt er hart.	1
Er hat jetzt seinen Traumjob. Die Zukunft wird rosig.	1
Sein Kind kam heile nach Hause. Jetzt ist er sorglos.	0
Heute ist ein super Tag. Er fühlt sich fantastisch.	0
Sie hat zu wenig gelernt. Im Test hat sie keine Ahnung.	0
Er legt es oft drauf an. In Clubs fängt er an zu provozieren.	0
Die Schülerin will mehr Freizeit. Sie findet Hausaufgaben sind doof.	0
Sie hatten wieder einen Streit. Jetzt ist er wütend.	0
Sie wurde heute zu früh geweckt. Jetzt ist sie brummig.	1
Er macht alles was sie sagt. Er ist ihr hörig.	1
Niemand ist bei ihr willkommen. Auf andere wirkt sie kalt.	1
Er ist Kommissar. Er ist bekannt für seine Spürnase.	1
Sie folgt selten einer Anweisung. Sie ist widerspenstig.	0
Ihr Wesen ist sehr aufbrausend. Sie hat Pfeffer.	1
Der Vortrag ist chaotisch. Zum Verstehen fehlt die Struktur.	0
Sie hat wenig geschlafen. Daher ist sie mürrisch.	0
Schnell verliert sie die Beherrschung. Sie handelt impulsiv.	0
Sie sind schon lange Rivalen. Ihr Umgang ist frostig.	1
Sie arbeitet nur. Ihr Leben ist eher fad.	1
Ihr Freund ist Südländer. Man sagt er sei heißblütig.	1
Sie zweifelten noch sehr. Die Sache war nicht einleuchtend.	1
Sie folgt selten einer Anweisung. Sie ist kratzbürstig. 	1
Er braucht Aggressionstraining. Häufig verliert er die Kontrolle.	0
Er setzt sein ganzes Geld auf rot. Er ist verrückt.	0
Die Theorie war gut durchdacht. So fand sie schnell Anklang.	1
Sport ist ihm egal. Die WM scheint ihn nicht zu jucken.	1
Er fällt sehr auf. Seine Persönlichkeit ist ausgefallen.	0
Er stimmt ihr bei jeder Möglichkeit zu. Das wirkt unehrlich.	0
Sie hat zu viele Geheimnisse. Das schmeckt ihm nicht.	1
Er ist ein verurteilter Mörder. Er ist mitleidslos.	0
Der Fehler war schlimm. Für ihre Zukunft sieht sie schwarz.	1
Er sitzt im Gefängnis. Das Verbrechen war grausig.	0
Sie bricht schnell in Tränen aus. Ihr Wesen ist zart.	1
Nach dem Gespräch war er sehr wütend. Nun muss er zur Vernunft kommen.	0
Sie bezahlte sehr wenig. Der Deal erschien ihr fragwürdig.	0
Das Thema ist ihre Leidenschaft. Sie begeistert sich dafür.	0
Er hat kaum Interessen. Sein Wesen ist langweilig.	0
Sie will ihn nicht. Er muss aufhören ihr zu schmeicheln.	0
Sie gab ihm Tipps. Die Ratschläge waren super.	0
Er denkt an die Vergangenheit. Das Gefühl ist bittersüß.	1
Man merkt ihr junges Alter. Sie ist noch grün hinter den Ohren.	1
Sie haben sich arg gestritten. Jetzt herrscht Verärgerung.	0
Sie fasste neuen Mut. Sie hatte genug von der Schwarzmalerei.	1
Er hat eine kleine Katze. Sie ist niedlich.	0
Er ist Investmentbanker. Für Geld hat er ein Näschen.	1
